h3_cell,latitude,longitude,bairro_clean
8981839882fffff,-8.00447380280242,-34.95245407460549,dois irmãos
898183985cfffff,-8.0767201,-34.920696320000005,mangueira
898183834c7ffff,,,
898183986b7ffff,-8.076927395711289,-34.897118569009805,ilha joana bezerra
8981838a133ffff,,,
8981839a8cbffff,,,
8981838165bffff,,,
8981839a69bffff,-8.142986376497348,-34.90706359166049,boa viagem
8981838120fffff,,,
8981839a667ffff,-8.123012903472642,-34.906649159325035,boa viagem
89818398c1bffff,-8.039492556379145,-34.94400371754111,várzea
89818398947ffff,,,
8981839a263ffff,,,
89818399c93ffff,-8.038150263280192,-34.88825118125775,encruzilhada
8981838a117ffff,,,
8981839a26fffff,,,
89818398123ffff,-8.04321678,-34.93308192,iputinga
8981839889bffff,,,
